Name,List,Description,Ingredient Number,Ingredient,Quantity,Quantity Unit,Garnish
Alexander,IBA Unforgettables,"Made with gin, cocoa liqueur (crème de cacao), and cream",,,,,
,,,1,gin,,,
,,,2,crème de cacao,,,
,,,3,cream,,,
Brandy Alexander,IBA Unforgettables,"Made with cognac, cocoa liqueur (crème de cacao), and cream",,,,,
,,,1,cognac,,,
,,,2,crème de cacao,,,
,,,3,cream,,,
Americano,IBA Unforgettables,"Made with Campari, sweet vermouth, and garnished with a slice of lemon.",,,,,
,,,1,Campari,,,
,,,2,sweet vermouth,,,
,,,3,lemon,1,slice,TRUE
Sparkling Americano,IBA Unforgettables,"Made with Campari, sweet vermouth, club soda and garnished with a slice of lemon.",,,,,
,,,1,Campari,,,
,,,2,sweet vermouth,,,
,,,3,club soda,,,
,,,4,lemon,1,slice,TRUE
Angel face,IBA Unforgettables,"Made with gin, apricot brandy and calvados in equal amounts.",,,,,
,,,1,gin,1,part,
,,,2,apricot brandy,1,part,
,,,3,calvados,1,part,
Aviation,IBA Unforgettables,"Made with gin, maraschino liqueur, crème de violette, and lemon juice. Some recipes omit the crème de violette.",,,,,
,,,1,gin,,,
,,,2,maraschino liqueur,,,
,,,3,crème de violette,,,
,,,4,lemon juice,,,
Between the sheets,IBA Unforgettables,"Made with white rum (or other light rum), cognac, triple sec, and lemon juice.",,,,,
,,,1,rum,,,
,,,2,cognac,,,
,,,3,triple sec,,,
,,,4,lemon juice,,,
Boulevardier,IBA Unforgettables,"Made with whiskey, sweet vermouth, and Campari.",,,,,
,,,1,whiskey,,,
,,,2,sweet vermouth,,,
,,,3,Campari,,,
Brandy crusta,IBA Unforgettables,"Made with brandy, maraschino liqueur, curaçao, fresh lemon juice, sugar syrup, and Angostura bitters.",,,,,
,,,1,brandy,,,
,,,2,maraschino liqueur,,,
,,,3,curaçao,,,
,,,4,fresh lemon juice,,,
,,,5,sugar syrup,,,
,,,6,Angostura bitters,,,
Casino,IBA Unforgettables,"Made with gin, maraschino liqueur, orange bitters and fresh lemon juice.",,,,,
,,,1,gin,,,
,,,2,maraschino liqueur,,,
,,,3,orange bitters,,,
,,,4,fresh lemon juice,,,
Clover Club,IBA Unforgettables,"Made with gin, lemon juice, raspberry syrup, and an egg white.",,,,,
,,,1,gin,,,
,,,2,lemon juice,,,
,,,3,raspberry syrup,,,
,,,4,egg white,1,unit,
Daiquiri,IBA Unforgettables,"Made with rum, citrus juice (typically lime juice), and sugar or other sweetener.",,,,,
,,,1,rum,,,
,,,2,lime juice,,,
,,,3,sugar,,,
Dry martini,IBA Unforgettables,"Made with gin and vermouth, and garnished with an olive or a lemon twist. A dry martini specifically is a martini made with dry, white vermouth.",,,,,
,,,1,gin,,,
,,,2,vermouth,,,
,,,3,olive,,,Y
Gin fizz,IBA Unforgettables,"Made with gin, lemon juice, and sugar, which are shaken with ice, poured into a tumbler and topped with carbonated water.",,,,,
,,,1,gin,,,
,,,2,lemon juice,,,
,,,3,sugar,,,
,,,4,carbonated water,,,
Hanky panky,IBA Unforgettables,"Made with gin, sweet vermouth, and Fernet-Branca.",,,,,
,,,1,gin,,,
,,,2,sweet vermouth,,,
,,,3,Fernet-Branca,,,
